Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_45_902.jpg;0;0;1;0;99.66999;85.589;0.0002350258;70.9673;1.984881E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_45_940.jpg;0;0;0;0;99.66999;85.589;0.000235017;70.9673;2.037506E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_45_980.jpg;0;0;0;0;99.66999;85.589;0.0002350082;70.9673;2.090134E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_022.jpg;0;0;0;0;99.66999;85.589;0.0002350038;70.9673;2.116446E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_064.jpg;0;0;0;0;99.66999;85.589;0.0002350038;70.9673;2.116446E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_104.jpg;0;0;0;0;99.66999;85.589;0.0002350038;70.9673;2.116446E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_146.jpg;0;0;0;0;99.66999;85.589;0.0002350126;70.9673;2.063818E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_186.jpg;0;0;0;0;99.66999;85.589;0.0002350214;70.9673;2.011194E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_227.jpg;0;0;0;0;99.66999;85.589;0.0002350303;70.9673;1.958565E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_274.jpg;0;0;0;0;99.66999;85.589;0.0002350479;70.9673;1.853313E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_319.jpg;0;0;0;0;99.66999;85.589;0.0002350655;70.9673;1.74806E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_360.jpg;0;0;0;0;99.66999;85.589;0.0002350832;70.9673;1.642807E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_401.jpg;0;0;0;0;99.66999;85.589;0.0002351096;70.9673;1.484929E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_442.jpg;0;0;0;0;99.66999;85.589;0.0002351317;70.9673;1.353361E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_483.jpg;0;0;0;0;99.66999;85.589;0.0002351582;70.9673;1.195483E-06
/home/john/Projects/Robotics/term1/RoboND-Rover-Project/IMG/robocam_2018_10_28_12_30_46_524.jpg;0;0;0;0;99.66999;85.589;0.0002351846;70.9673;1.037602E-06
